summary_date,score,score_stay_active,score_move_every_hour,score_meet_daily_targets,score_training_frequency,score_training_volume,score_recovery_time,cal_active,cal_total,daily_movement,inactivity_alerts,steps,non_wear,rest,inactive,low,medium,high,average_met,met_min_inactive,met_min_low,met_min_medium,met_min_high,target_calories,target_km,target_miles,to_target_km,to_target_miles,day_start,day_end,class_5min,weight
12/24/23,77,80,100,25,96,93,100,270,1822,6749,0,6255,195,558,479,160,47,1,1.375,5,118,156,8,350,9,5.592339,2.1,1.3048791,2023-12-24T04:00:00-08:00,2023-12-25T03:59:59-08:00,211111111111111111111212211111112111222111221122221111212111122211122000000000000322432233334332222121232322222112222333322332323333332443444443222222223233234323332233000000000000000000000000002222222222222222222222221111121122211222212221222222112112222212222222212211112222222221111111,
12/25/23,66,68,100,1,71,92,100,259,1842,6532,0,6495,155,406,619,231,29,0,1.375,7,170,98,0,350,9,5.592339,2.4,1.4912904,2023-12-25T04:00:00-08:00,2023-12-26T03:59:59-08:00,111111222111111111112112222111122211122121211112222133333000000000000003334422223333323222222222212322222333343343232332222223222232323222212222222322222334334433332333233223223321120000000000000000322222322222222322222222221111122221122221112222221122122222221112222212221221211111111121,
12/26/23,66,63,100,1,71,95,100,247,1841,5735,0,6233,106,449,633,216,36,0,1.375,8,135,120,0,350,9,5.592339,2.7,1.6777017,2023-12-26T04:00:00-08:00,2023-12-27T03:59:59-08:00,111111211111111111221211111111111122112111122222222222222222223333323320000432232223433332222222222234333333322222333222221221111222222332222233244323232223333223333333333333322222120002222232222222222222222222222222222221112221111222111211111111112121112111112111111212211100000000000000,
12/27/23,75,63,100,25,96,95,100,294,1937,6757,0,6879,210,289,622,271,48,0,1.46875,13,151,149,0,200,5,3.106855,-2.2,-1.3670162,2023-12-27T04:00:00-08:00,2023-12-28T03:59:59-08:00,000000000000000000000000000000003343232223333222222322233332222223222332232323332222221221111122222234423233224433222222234334333232222323323222222233322322212223222222222223443333333333323443333342222000000000322222222211122222222221111111112112222111112212222222111112221111111111211121,484
12/28/23,81,81,100,43,96,93,100,257,1845,6250,0,6324,98,572,493,253,24,0,1.375,10,185,78,0,200,6,3.728226,-1.3,-0.8077823,2023-12-28T04:00:00-08:00,2023-12-29T03:59:59-08:00,212111111111111111111112211111121211112211111111111222111121111000000333333232223333222333333431222323332233222221112122122233332233322222222233334334333433222222222223222222232222232222233433332233330000000000000221112322122222211111111111111121222211122111222122111111111211111112121111,
12/29/23,77,78,100,43,71,82,100,201,1791,4559,0,5164,91,615,488,226,20,0,1.34375,13,137,64,0,350,9,5.592339,3.8,2.3612098,2023-12-29T04:00:00-08:00,2023-12-30T03:59:59-08:00,111221111111111111111111112111111122211111111111111211222222112223322000332233322333222222223233222223322333233323332333332223322222333222222333323323334332222222222222322223222223222323333322223300000000000000022111122111111111112111111111111111111221111212222222211121111111121112121111,
12/30/23,75,66,100,43,71,83,100,240,1844,5543,0,5974,110,462,612,221,33,2,1.375,9,127,107,13,350,9,5.592339,2.8,1.7398388,2023-12-30T04:00:00-08:00,2023-12-31T03:59:59-08:00,111111111111111122111111111111222212111123222342000033323323232233332233223222333332222232222222222333333444233322223222222222322222222222222233334322222222232333222222233343323233223000000000000000002222222222222221212222111111122122321111121111221211122111222211222121111112211121112111,
12/31/23,81,94,100,43,71,95,100,296,1839,6941,0,6145,158,654,400,175,48,5,1.375,6,111,165,34,350,9,5.592339,1.4,0.8699194,2023-12-31T04:00:00-08:00,2024-01-01T03:59:59-08:00,111111111111111111111112112121222212222222111111111221111112111111112112113000000003433223223443222333333433333323223222213212222213321111112111111211111222333332323223445434323222220440002222222200000000000021122122222222233211211111111211111111111211232112222111111111111111121110000000,
1/1/24,81,96,100,43,71,90,100,198,1776,4398,0,4451,458,394,360,206,20,2,1.34375,7,129,61,13,350,9,5.592339,3.9,2.4233469,2024-01-01T04:00:00-08:00,2024-01-02T03:59:59-08:00,000000000000000000000000000000000000000000000000000000000000000000000000333222222332233211222222222222222222222233333333333544332322222322322221111111111233323332323323322333323333333332320000000000000000002222222211111111111111112111111211221211121122111111221111112112111111121111111111,
1/2/24,78,81,100,43,71,87,100,304,1987,5937,0,8340,111,395,500,409,24,1,1.5,20,216,81,6,350,9,5.592339,1.2,0.7456452,2024-01-02T04:00:00-08:00,2024-01-03T03:59:59-08:00,111111111112121112111122222320000003322333223432222222223332223322223423333223333223333333333332233322233333222333222233443322333343223333332222333333333333332232223333233232332233332222222333200000000000000021122222111111111121212212212111122112222111111111121111122122222111122112211111,
